"","e","d","m","mean","chance"
"1",NA,NA,NA,NA,NA
"2",0.01,0.002,660.205999132796,0.004637,0.071
"3",0.01,0.002,990.308998699194,0.00335799999999997,0.019
"4",0.01,0.002,1320.41199826559,0.00248899999999996,0.004
"5",0.01,0.002,1980.61799739839,0.00176100000000001,0
"6",0.01,0.002,2640.82399653119,0.00147799999999998,0
"7",0.01,0.005,580.617997398389,0.00517100000000004,0.107
"8",0.01,0.005,870.926996097583,0.00387999999999999,0.032
"9",0.01,0.005,1161.23599479678,0.002965,0.011
"10",0.01,0.005,1741.85399219517,0.00196099999999999,0.001
"11",0.01,0.005,2322.47198959356,0.00156999999999996,0.001
"12",0.01,0.008,539.794000867204,0.00522999999999996,0.113
"13",0.01,0.008,809.691001300806,0.00401600000000002,0.052
"14",0.01,0.008,1079.58800173441,0.00312900000000005,0.00800000000000001
"15",0.01,0.008,1619.38200260161,0.00206899999999999,0.001
"16",0.01,0.008,2159.17600346881,0.00162799999999996,0
"17",0.01,0.011,512.133461233948,0.00569799999999998,0.135
"18",0.01,0.011,768.200191850921,0.00410200000000005,0.052
"19",0.01,0.011,1024.2669224679,0.003162,0.017
"20",0.01,0.011,1536.40038370184,0.002336,0.002
"21",0.01,0.011,2048.53384493579,0.00180999999999998,0
"22",0.01,0.014,491.186391129945,0.00581600000000004,0.155
"23",0.01,0.014,736.779586694917,0.00409700000000002,0.055
"24",0.01,0.014,982.37278225989,0.00329199999999996,0.021
"25",0.01,0.014,1473.55917338983,0.00232600000000005,0.00700000000000001
"26",0.01,0.014,1964.74556451978,0.00175800000000004,0
"27",0.01,0.017,474.322213989938,0.00628300000000004,0.183
"28",0.01,0.017,711.483320984907,0.004386,0.0669999999999999
"29",0.01,0.017,948.644427979875,0.00341400000000003,0.029
"30",0.01,0.017,1422.96664196981,0.00235099999999999,0.005
"31",0.01,0.017,1897.28885595975,0.00187499999999996,0.001
"32",0.01,0.02,460.205999132796,0.00641000000000003,0.188
"33",0.01,0.02,690.308998699194,0.00450799999999996,0.0649999999999999
"34",0.01,0.02,920.411998265593,0.00351500000000005,0.025
"35",0.01,0.02,1380.61799739839,0.00249699999999997,0.004
"36",0.01,0.02,1840.82399653119,0.00192999999999999,0.002
"37",0.01,0.023,448.066431062074,0.00664799999999999,0.217
"38",0.01,0.023,672.099646593111,0.00475099999999995,0.085
"39",0.01,0.023,896.132862124148,0.00365700000000002,0.027
"40",0.01,0.023,1344.19929318622,0.00251999999999997,0.004
"41",0.01,0.023,1792.2657242483,0.00201799999999996,0
"42",0.01,0.026,437.417328671429,0.00671200000000005,0.21
"43",0.01,0.026,656.125993007143,0.00447900000000001,0.07
"44",0.01,0.026,874.834657342858,0.00385199999999997,0.04
"45",0.01,0.026,1312.25198601429,0.00260700000000003,0.01
"46",0.01,0.026,1749.66931468572,0.00205,0.001
"47",0.01,0.029,427.932398685801,0.00697300000000001,0.23
"48",0.01,0.029,641.898598028702,0.00492300000000001,0.079
"49",0.01,0.029,855.864797371603,0.00366900000000003,0.032
"50",0.01,0.029,1283.7971960574,0.00252600000000003,0.00600000000000001
"51",0.01,0.029,1711.72959474321,0.00213399999999997,0.002
"52",0.01,0.032,419.382002601611,0.00682400000000005,0.214
"53",0.01,0.032,629.073003902417,0.00495999999999996,0.087
"54",0.01,0.032,838.764005203223,0.00389399999999995,0.036
"55",0.01,0.032,1258.14600780483,0.00259399999999999,0.004
"56",0.01,0.032,1677.52801040645,0.00203699999999996,0.002
"57",0.01,0.035,411.598389395537,0.00708600000000004,0.234
"58",0.01,0.035,617.397584093306,0.00508799999999998,0.107
"59",0.01,0.035,823.196778791075,0.00384499999999999,0.037
"60",0.01,0.035,1234.79516818661,0.00273500000000004,0.00800000000000001
"61",0.01,0.035,1646.39355758215,0.002108,0
"62",0.01,0.038,404.45527894223,0.00719999999999998,0.247
"63",0.01,0.038,606.682918413346,0.00492800000000004,0.081
"64",0.01,0.038,808.910557884461,0.003695,0.025
"65",0.01,0.038,1213.36583682669,0.002772,0.01
"66",0.01,0.038,1617.82111576892,0.00204499999999996,0.001
"67",0.01,0.041,397.855226921645,0.00679700000000005,0.219
"68",0.01,0.041,596.782840382468,0.00514099999999995,0.104
"69",0.01,0.041,795.710453843291,0.00404700000000002,0.038
"70",0.01,0.041,1193.56568076494,0.00273100000000004,0.00600000000000001
"71",0.01,0.041,1591.42090768658,0.00213600000000003,0.001
"72",0.01,0.044,391.721462968355,0.00722800000000001,0.251
"73",0.01,0.044,587.582194452532,0.00519000000000003,0.109
"74",0.01,0.044,783.44292593671,0.00415399999999999,0.041
"75",0.01,0.044,1175.16438890506,0.00292899999999996,0.013
"76",0.01,0.044,1566.88585187342,0.00212599999999996,0.001
"77",0.01,0.047,385.992426678449,0.00703799999999999,0.236
"78",0.01,0.047,578.988640017673,0.00519599999999998,0.105
"79",0.01,0.047,771.984853356898,0.00401799999999997,0.049
"80",0.01,0.047,1157.97728003535,0.00292700000000001,0.00800000000000001
"81",0.01,0.047,1543.9697067138,0.002166,0.001
"82",0.01,0.05,380.617997398389,0.00728600000000001,0.252
"83",0.01,0.05,570.926996097583,0.00544100000000003,0.119
"84",0.01,0.05,761.235994796777,0.00411300000000003,0.0600000000000001
"85",0.01,0.05,1141.85399219517,0.00271299999999997,0.004
"86",0.01,0.05,1522.47198959355,0.00236100000000006,0.005
